"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 23 15:08:33 MSK 2024","Tue Apr 23 15:08:38 MSK 2024","4322","tests","test_order_page","TestOrder","","","Проверка заполнения форм с разными наборами данных",""
"passed","Tue Apr 23 15:08:20 MSK 2024","Tue Apr 23 15:08:25 MSK 2024","4985","tests","test_order_page","TestOrder","","","Проверка заполнения форм с разными наборами данных",""
"passed","Tue Apr 23 15:06:19 MSK 2024","Tue Apr 23 15:06:22 MSK 2024","3111","tests","test_main_page","TestQuestionsMainPage","","","Проверка Вопросов о важном","При нажатии на стрелочку, открывается соответствующий ответ"
"passed","Tue Apr 23 15:08:09 MSK 2024","Tue Apr 23 15:08:12 MSK 2024","2928","tests","test_main_page","TestLogoMainPage","","","Проверка,что при нажатии на логотип «Самоката», попадёшь на главную страницу «Самоката».",""
"passed","Tue Apr 23 15:07:03 MSK 2024","Tue Apr 23 15:07:06 MSK 2024","3066","tests","test_main_page","TestQuestionsMainPage","","","Проверка Вопросов о важном","При нажатии на стрелочку, открывается соответствующий ответ"
"passed","Tue Apr 23 15:06:30 MSK 2024","Tue Apr 23 15:06:33 MSK 2024","2770","tests","test_main_page","TestQuestionsMainPage","","","Проверка Вопросов о важном","При нажатии на стрелочку, открывается соответствующий ответ"
"passed","Tue Apr 23 15:06:07 MSK 2024","Tue Apr 23 15:06:11 MSK 2024","3581","tests","test_main_page","TestQuestionsMainPage","","","Проверка Вопросов о важном","При нажатии на стрелочку, открывается соответствующий ответ"
"passed","Tue Apr 23 15:07:58 MSK 2024","Tue Apr 23 15:08:01 MSK 2024","2267","tests","test_main_page","TestLogoMainPage","","","Проверка,что при нажатии на логотип Яндекса, в новом окне через редирект откроется главная страница Дзена.",""
"passed","Tue Apr 23 15:07:48 MSK 2024","Tue Apr 23 15:07:50 MSK 2024","2549","tests","test_main_page","TestClickOrderMainPage","","","Проверка клика на кнопку Заказать снизу",""
"passed","Tue Apr 23 15:06:51 MSK 2024","Tue Apr 23 15:06:55 MSK 2024","3280","tests","test_main_page","TestQuestionsMainPage","","","Проверка Вопросов о важном","При нажатии на стрелочку, открывается соответствующий ответ"
"passed","Tue Apr 23 15:06:41 MSK 2024","Tue Apr 23 15:06:43 MSK 2024","2674","tests","test_main_page","TestQuestionsMainPage","","","Проверка Вопросов о важном","При нажатии на стрелочку, открывается соответствующий ответ"
"passed","Tue Apr 23 15:07:25 MSK 2024","Tue Apr 23 15:07:28 MSK 2024","2666","tests","test_main_page","TestQuestionsMainPage","","","Проверка Вопросов о важном","При нажатии на стрелочку, открывается соответствующий ответ"
"passed","Tue Apr 23 15:07:14 MSK 2024","Tue Apr 23 15:07:17 MSK 2024","2867","tests","test_main_page","TestQuestionsMainPage","","","Проверка Вопросов о важном","При нажатии на стрелочку, открывается соответствующий ответ"
"passed","Tue Apr 23 15:07:36 MSK 2024","Tue Apr 23 15:07:39 MSK 2024","2928","tests","test_main_page","TestClickOrderMainPage","","","Проверка клика на кнопку Заказать сверху",""
